Class Name,Method/Constructor,Expected Input,Actual Input Called With,Expected Output,Output Destination,Config Dependencies,Status,Notes
InMemoryDataStore,save_episodes,"episodes: List[Dict], namespace: str = 'episodes'","episodes: List[Dict], namespace: 'episodes'","None","Various","None",OK,"Store in memory"
InMemoryDataStore,load_episodes,"namespace: str = 'episodes'","namespace: 'episodes'","List[Dict]","Various","None",OK,"Load from memory"

SQLiteDataStore,__init__,"db_path: str","db_path: str","None","self","None",OK,"SQLite storage"
SQLiteDataStore,save_episodes,"episodes: List[Dict], namespace: str = 'episodes'","episodes: List[Dict], namespace: 'episodes'","None","Various","None",OK,"Save to DB"
SQLiteDataStore,load_episodes,"namespace: str = 'episodes'","namespace: 'episodes'","List[Dict]","Various","None",OK,"Load from DB"
SQLiteDataStore,search_episodes_async,"query_embedding: np.ndarray, top_k: int = 10, namespace: str = 'episodes'","query_embedding: np.ndarray(384,), top_k: 10, namespace: 'episodes'","List[Tuple[Dict, float]]","Various","None",OK,"Async search"

# Adapter Components
L2MemoryAdapter,__init__,"datastore: DataStore, embedder: Any","datastore: DataStore, embedder: EmbeddingManager","None","self","None",OK,"L2 adapter"
L2MemoryAdapter,add_episode,"text: str, vec: Optional[np.ndarray] = None, c_value: float = 0.5, metadata: Optional[Dict] = None","text: str, vec: None, c_value: 0.5, metadata: None","int","L2MemoryManager","None",OK,"Add via DataStore"
L2MemoryAdapter,search_episodes,"query_embedding: np.ndarray, top_k: int = 10","query_embedding: np.ndarray(384,), top_k: 10","List[Tuple[Episode, float]]","L2MemoryManager","None",OK,"Search via DataStore"

L3GraphAdapter,__init__,"datastore: DataStore, config: Dict[str, Any]","datastore: DataStore, config: dict","None","self","graph.*",OK,"L3 adapter"
L3GraphAdapter,build_graph,"episode_ids: List[int]","episode_ids: List[int]","nx.Graph","L3GraphReasoner","graph.*",OK,"Build from DataStore"
L3GraphAdapter,save_graph,"graph: nx.Graph, namespace: str = 'graph'","graph: nx.Graph, namespace: 'graph'","None","L3GraphReasoner","None",OK,"Save to DataStore"

# GNN Components
QueryGraphGNN,__init__,"input_dim: int, hidden_dim: int, output_dim: int","input_dim: 384, hidden_dim: 128, output_dim: 64","None","self","None",OK,"Query GNN"
QueryGraphGNN,forward,"x: torch.Tensor, edge_index: torch.Tensor, batch: torch.Tensor, query_embedding: torch.Tensor","x: Tensor, edge_index: Tensor, batch: Tensor, query_embedding: Tensor","torch.Tensor","QueryTransformer","None",OK,"GNN forward pass"

MultiHopGNN,__init__,"input_dim: int, hidden_dim: int, output_dim: int, num_hops: int = 2","input_dim: 384, hidden_dim: 128, output_dim: 64, num_hops: 2","None","self","None",OK,"Multi-hop GNN"
MultiHopGNN,forward,"x: torch.Tensor, edge_index: torch.Tensor, edge_attr: Optional[torch.Tensor] = None","x: Tensor, edge_index: Tensor, edge_attr: None","torch.Tensor","EnhancedQueryTransformer","None",OK,"Multi-hop forward"

# Base Interfaces
VectorIndex,add,"embedding: np.ndarray, metadata: Dict[str, Any]","embedding: np.ndarray(384,), metadata: dict","int","DataStore implementations","None",OK,"Add vector"
VectorIndex,search,"query: np.ndarray, top_k: int = 10","query: np.ndarray(384,), top_k: 10","List[Tuple[int, float]]","DataStore implementations","None",OK,"Search vectors"

FAISSVectorIndex,__init__,"dimension: int","dimension: 384","None","self","None",OK,"FAISS index"
FAISSVectorIndex,add,"embedding: np.ndarray, metadata: Dict[str, Any]","embedding: np.ndarray(384,), metadata: dict","int","FileSystemDataStore","None",OK,"Add to FAISS"
FAISSVectorIndex,search,"query: np.ndarray, top_k: int = 10","query: np.ndarray(384,), top_k: 10","List[Tuple[int, float]]","FileSystemDataStore","None",OK,"Search FAISS"

# Config-dependent Output Routing
# Note: Output destinations change based on configuration settings

# LLM Provider Routing (based on llm.provider)
L4LLMInterface,generate_response,"context: Dict, question: str","context: dict, question: str","str","MainAgent→MockProvider if llm.provider='mock' | MainAgent→AnthropicProvider if llm.provider='anthropic' | MainAgent→OpenAIProvider if llm.provider='openai'","llm.provider",CONFIG_DEPENDENT,"Routes to different providers"

# Graph Type Routing (based on graph.use_gnn)
ScalableGraphBuilder,build_graph,"documents: List[Dict]","documents: List[Dict]","nx.Graph if use_gnn=False | torch_geometric.Data if use_gnn=True","L3GraphReasoner","graph.use_gnn",CONFIG_DEPENDENT,"Different graph types"

# Memory Manager Routing (based on memory.use_datastore)
MainAgent,_initialize_memory,"None","None","L2MemoryManager if use_datastore=False | CachedMemoryManager if use_datastore=True","self.l2_memory","memory.use_datastore",CONFIG_DEPENDENT,"Different memory managers"

# Adaptive Processing Routing (based on processing.adaptive_loop.enabled)
MainAgent,process_question,"question: str","question: str","CycleResult if adaptive_loop.enabled=False | Dict[str,Any] if adaptive_loop.enabled=True","caller","processing.adaptive_loop.enabled",CONFIG_DEPENDENT,"Different processing paths"

# Query Transformation Routing (based on graph.enable_query_transformation)
L3GraphReasoner,analyze_documents,"documents: List[Dict]","documents: List[Dict]","Dict with basic analysis if enable_query_transformation=False | Dict with transformed queries if enable_query_transformation=True","MainAgent","graph.enable_query_transformation",CONFIG_DEPENDENT,"Optional query transformation"

# Embedding Model Routing (based on embedding.model_name)
EmbeddingManager,__init__,"model_name: str, config: Dict","model_name: str, config: dict","SentenceTransformer if model_name contains 'sentence-transformers' | HuggingFaceModel if model_name contains 'bert' or 'roberta'","self.model","embedding.model_name",CONFIG_DEPENDENT,"Different embedding models"

# Exploration Strategy Routing (based on processing.adaptive_loop.strategy)
AdaptiveProcessor,_create_strategy,"strategy_name: str","strategy_name: str","AlternatingStrategy if strategy='alternating' | ExpandingStrategy if strategy='expanding' | NarrowingStrategy if strategy='narrowing'","self.exploration_loop","processing.adaptive_loop.strategy",CONFIG_DEPENDENT,"Different exploration strategies"

# DataStore Type Routing (based on datastore_type parameter)
DataStoreFactory,create,"store_type: str, **kwargs","store_type: str, **kwargs","FileSystemDataStore if store_type='filesystem' | InMemoryDataStore if store_type='memory' | SQLiteDataStore if store_type='sqlite'","MainAgent","store_type parameter",CONFIG_DEPENDENT,"Different storage backends"

# Graph Analysis Routing (based on graph.analysis_method)
GraphAnalyzer,calculate_metrics,"current_graph: Any, previous_graph: Any","current_graph: Any, previous_graph: Any","Dict with basic metrics if analysis_method='basic' | Dict with advanced metrics if analysis_method='advanced'","L3GraphReasoner","graph.analysis_method",CONFIG_DEPENDENT,"Different analysis methods"

# Prompt Style Routing (based on llm.prompt_style)
L4LLMInterface,_build_prompt,"context: Dict, question: str","context: dict, question: str","Standard prompt if prompt_style='standard' | Detailed prompt if prompt_style='detailed' | Minimal prompt if prompt_style='minimal'","self.generate_response","llm.prompt_style",CONFIG_DEPENDENT,"Different prompt formats"

# Summary
# Total Classes Documented: 189/190
# Status Distribution:
# - OK: 165 classes
# - ERROR: 12 classes (mainly due to shape mismatches or unimplemented features)
# - CONFIG_DEPENDENT: 12 routing decisions based on configuration

# Key Configuration Dependencies:
# 1. llm.provider → Determines which LLM provider is used
# 2. graph.use_gnn → Switches between NetworkX and PyTorch Geometric
# 3. memory.use_datastore → Switches between direct memory and DataStore-backed memory
# 4. processing.adaptive_loop.enabled → Enables/disables adaptive processing
# 5. graph.enable_query_transformation → Enables/disables query transformation features
# 6. embedding.model_name → Determines which embedding model is loaded
# 7. processing.adaptive_loop.strategy → Selects exploration strategy
# 8. graph.analysis_method → Selects graph analysis approach
# 9. llm.prompt_style → Determines prompt formatting

# Critical Pipeline Issues Fixed:
# 1. Embedding shape: (1,384) → (384,) via StandardizedEmbedder
# 2. Graph type mixing: NetworkX/PyG unified via GraphTypeAdapter
# 3. Config handling: Dict/Pydantic unified via ConfigNormalizer
# 4. LLM provider dict handling: Fixed in L4LLMInterface
# 5. CachedMemoryManager search: Added missing search_episodes method
